X,Y,Type
40.9048,4.07829,total
49.6996,-7.05203,muon
49.6996,-7.05203,total
44.2032,389.802,muon
44.2032,389.802,total
-125.02,15.2317,muon
-125.02,15.2317,total
-129.895,17.6186,muon
-129.895,17.6186,total
-267.089,-20.5064,muon
-267.089,-20.5064,total
137.92,-1337.72,muon
137.92,-1337.72,total
17.181,5.38481,muon
17.181,5.38481,total
293.66,-76.5023,muon
293.66,-76.5023,total
112.25,65.2112,muon
112.25,65.2112,total
179.634,-37.3144,muon
179.634,-37.3144,total
-5170.35,-698.983,muon
-5170.35,-698.983,total
409.348,326.636,muon
409.348,326.636,total
-181.199,29.124,muon
-181.199,29.124,total
-290.456,34.8807,muon
-290.456,34.8807,total
163.966,21.3427,muon
163.966,21.3427,total
-308.092,-540.169,muon
-308.092,-540.169,total
-288.1,657.659,muon
-288.1,657.659,total
37.4691,6.15258,muon
37.4691,6.15258,total
432.549,-73.2335,muon
432.549,-73.2335,total
40.7238,-97.147,muon
40.7238,-97.147,total
32.3911,-49.858,muon
32.3911,-49.858,total
52.1691,17.9481,muon
52.1691,17.9481,total
223.102,-15.089,muon
223.102,-15.089,total
-1164.2,-713.672,muon
-1164.2,-713.672,total
595.808,445.981,muon
595.808,445.981,total
57.8912,28.2672,muon
57.8912,28.2672,total
-55.9843,-1.06008,muon
-55.9843,-1.06008,total
-164.617,-54.0396,muon
-164.617,-54.0396,total
-2091.25,-211.863,muon
-2091.25,-211.863,total
267.519,-598.74,muon
267.519,-598.74,total
443.923,52.4977,muon
443.923,52.4977,total
-5.07241,-41.8263,muon
-5.07241,-41.8263,total
49.8143,21.7412,muon
49.8143,21.7412,total
-354.564,204.172,muon
-354.564,204.172,total
-2.04746,-179.959,muon
-2.04746,-179.959,total
-185.707,384.822,muon
-185.707,384.822,total
-94.3031,-76.1393,muon
-94.3031,-76.1393,total
2464.97,97.0441,muon
2464.97,97.0441,total
64.0995,62.6671,muon
64.0995,62.6671,total
1447.08,-281.615,muon
1447.08,-281.615,total
117.093,-148.53,muon
117.093,-148.53,total
163.097,-79.6818,muon
163.097,-79.6818,total
-1120.42,-141.964,muon
-1120.42,-141.964,total
-74.0219,25.1158,muon
-74.0219,25.1158,total
-296.687,-237.487,muon
-296.687,-237.487,total
-91.838,-3.79595,muon
-91.838,-3.79595,total
398.079,-60.348,muon
398.079,-60.348,total
-237.368,-4.77198,muon
-237.368,-4.77198,total
-150.444,31.4301,muon
-150.444,31.4301,total
103.605,-253.225,electron
103.605,-253.225,total
-442.116,948.63,muon
-442.116,948.63,total
-684.166,620.14,muon
-684.166,620.14,total
362.561,-48.3721,muon
362.561,-48.3721,total
-42.6249,9.54094,muon
-42.6249,9.54094,total
2349.78,6.63995,muon
2349.78,6.63995,total
3842.85,-1759.68,muon
3842.85,-1759.68,total
-580.632,-307.805,muon
-580.632,-307.805,total
-321.704,-15.4331,muon
-321.704,-15.4331,total
-821.842,309.299,muon
-821.842,309.299,total
-134.036,105.346,muon
-134.036,105.346,total
10.2656,107.77,muon
10.2656,107.77,total
99.6812,-35.1355,muon
99.6812,-35.1355,total
-1314.57,-176.825,muon
-1314.57,-176.825,total
4424.88,-1805.84,muon
4424.88,-1805.84,total
-600.428,1087.26,muon
-600.428,1087.26,total
-333.958,147.976,muon
-333.958,147.976,total
28.8965,4.43304,muon
28.8965,4.43304,total
-934.234,-415.962,muon
-934.234,-415.962,total
192.512,-77.8473,muon
192.512,-77.8473,total
257.842,72.0297,muon
257.842,72.0297,total
-78.0999,-12.5422,muon
-78.0999,-12.5422,total
1474.61,-119.753,muon
1474.61,-119.753,total
34.4082,51.5506,muon
34.4082,51.5506,total
646.761,644.416,muon
646.761,644.416,total
