X,Y,Type
-136.495,-233.66,total
322.16,2244.48,muon
322.16,2244.48,total
190.295,24.4801,muon
190.295,24.4801,total
-392.067,19.1667,muon
-392.067,19.1667,total
177.272,5.84143,muon
177.272,5.84143,total
-91.3235,-48.3996,muon
-91.3235,-48.3996,total
-569.899,113.499,muon
-569.899,113.499,total
1136.22,87.4074,muon
1136.22,87.4074,total
56.3067,-57.1416,muon
56.3067,-57.1416,total
-57.2026,-55.0991,muon
-57.2026,-55.0991,total
-95.4074,-30.3721,muon
-95.4074,-30.3721,total
-27.6264,11.5735,muon
-27.6264,11.5735,total
505.915,-730.022,muon
505.915,-730.022,total
374.531,-14.7682,muon
374.531,-14.7682,total
64.362,-39.8711,muon
64.362,-39.8711,total
-69.8949,-127.236,muon
-69.8949,-127.236,total
-239.153,121.78,muon
-239.153,121.78,total
-1598.5,533.534,muon
-1598.5,533.534,total
321.811,-48.8181,muon
321.811,-48.8181,total
125.531,-12.006,muon
125.531,-12.006,total
-14.1413,-58.6553,muon
-14.1413,-58.6553,total
-109.855,-58.044,muon
-109.855,-58.044,total
55.2514,-0.307847,muon
55.2514,-0.307847,total
46.9005,10.6634,muon
46.9005,10.6634,total
220.021,13.0698,muon
220.021,13.0698,total
1795.89,-2697.8,muon
1795.89,-2697.8,total
-716.412,-565.013,muon
-716.412,-565.013,total
502.581,75.2987,muon
502.581,75.2987,total
-94.1375,-75.4068,muon
-94.1375,-75.4068,total
-926.711,53.2274,muon
-926.711,53.2274,total
-127.103,-14.6452,muon
-127.103,-14.6452,total
-75.9328,62.6351,muon
-75.9328,62.6351,total
-1046.75,-952.697,muon
-1046.75,-952.697,total
74.4414,22.3613,muon
74.4414,22.3613,total
-282.529,-2.28026,muon
-282.529,-2.28026,total
12.4874,-50.24,muon
12.4874,-50.24,total
-92.2177,19.603,muon
-92.2177,19.603,total
-832.468,112.008,muon
-832.468,112.008,total
41.7779,-84.5384,muon
41.7779,-84.5384,total
216.47,108.561,muon
216.47,108.561,total
276.758,-106.895,electron
276.758,-106.895,total
139.249,-850.435,muon
139.249,-850.435,total
951.671,-210.619,muon
951.671,-210.619,total
-71.7746,-53.3516,muon
-71.7746,-53.3516,total
-61.5294,-130.336,muon
-61.5294,-130.336,total
-58.5766,19.9969,muon
-58.5766,19.9969,total
81.1935,-399.163,muon
81.1935,-399.163,total
661.275,-22.5111,muon
661.275,-22.5111,total
-168.122,-51.2164,muon
-168.122,-51.2164,total
10.4347,-49.863,muon
10.4347,-49.863,total
-75.0513,40.828,muon
-75.0513,40.828,total
-594.891,-643.715,muon
-594.891,-643.715,total
45.6041,26.7365,muon
45.6041,26.7365,total
-67.239,49.7946,muon
-67.239,49.7946,total
-64.0958,-7.69669,muon
-64.0958,-7.69669,total
-278.913,94.8827,electron
-278.913,94.8827,total
1549.33,105.447,muon
1549.33,105.447,total
202.995,178.224,muon
202.995,178.224,total
51.7233,3.54571,muon
51.7233,3.54571,total
1096.8,-841.92,muon
1096.8,-841.92,total
502.433,-140.21,muon
502.433,-140.21,total
12.6635,-163.281,muon
12.6635,-163.281,total
-774.554,207.097,muon
-774.554,207.097,total
867.384,-174.023,muon
867.384,-174.023,total
82.2861,75.0242,muon
